Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,81.660004,83.263336,81.589996,83.066666,83.066666,2778600
2019-04-30,83.199997,83.446671,82.250000,82.943336,82.943336,1731000
2019-05-01,83.163330,83.320000,81.613335,82.129997,82.129997,1864500
2019-05-02,81.973335,83.263336,81.873337,82.243332,82.243332,2049600
2019-05-03,82.333336,83.646667,81.540001,83.589996,83.589996,3038400
2019-05-06,82.239998,83.000000,80.833336,82.613335,82.613335,2112900
2019-05-07,82.146667,82.239998,78.566666,79.403336,79.403336,3379500
2019-05-08,79.403336,80.366669,78.856667,79.500000,79.500000,2260500
2019-05-09,78.386665,79.330002,77.360001,79.276665,79.276665,2477700
2019-05-10,78.333336,79.493332,76.023331,78.316666,78.316666,4269300
2019-05-13,76.213333,76.866669,74.356667,74.833336,74.833336,3414600
2019-05-14,75.333336,76.166664,74.536667,75.616669,75.616669,4464900
2019-05-15,75.000000,75.150002,73.143333,73.250000,73.250000,6538800
2019-05-16,73.519997,75.103333,73.430000,74.943336,74.943336,6557700
2019-05-17,73.970001,75.820000,73.873337,75.206665,75.206665,3256200
2019-05-20,74.333336,75.033333,73.343330,74.563332,74.563332,3586200
2019-05-21,75.190002,76.216667,74.636665,75.913330,75.913330,3781200
2019-05-22,75.666664,76.843330,75.419998,76.000000,76.000000,2335200
2019-05-23,74.400002,74.486664,71.816666,71.930000,71.930000,5249400
2019-05-24,72.519997,73.110001,71.793335,72.086670,72.086670,3783600
2019-05-28,72.333336,72.989998,71.246666,71.493332,71.493332,4223400
2019-05-29,71.226669,72.230003,70.116669,71.773331,71.773331,8321100
2019-05-30,67.699997,69.233330,66.669998,68.099998,68.099998,15175500
2019-05-31,66.666664,67.666664,65.693336,66.713333,66.713333,6600600
2019-06-03,66.620003,66.903336,65.099998,65.566666,65.566666,5819100
2019-06-04,66.290001,67.303329,66.003334,67.236664,67.236664,5312100
2019-06-05,67.860001,68.206665,65.083336,66.403336,66.403336,4160400
2019-06-06,66.489998,66.683334,65.176666,65.846664,65.846664,3322200
2019-06-07,66.260002,66.720001,64.889999,65.180000,65.180000,3983700
2019-06-10,65.643333,66.883331,65.279999,66.309998,66.309998,3634800
2019-06-11,67.000000,67.500000,66.346664,66.930000,66.930000,3415800
2019-06-12,67.096664,68.650002,67.006668,67.683334,67.683334,5009400
2019-06-13,67.833336,69.396667,67.833336,68.489998,68.489998,5126700
2019-06-14,68.473335,68.820000,67.433334,67.763336,67.763336,3785400
2019-06-17,67.970001,69.166664,67.970001,68.333336,68.333336,2377200
2019-06-18,69.129997,70.129997,68.263336,68.449997,68.449997,4111200
2019-06-19,68.916664,69.833336,68.533333,69.706665,69.706665,3924000
2019-06-20,71.000000,71.463333,68.769997,68.879997,68.879997,4212000
2019-06-21,69.070000,69.416664,68.133331,68.163330,68.163330,3716700
2019-06-24,68.616669,68.623337,65.773331,66.169998,66.169998,6387300
2019-06-25,66.176666,67.110001,65.646667,66.180000,66.180000,3757200
2019-06-26,66.823334,67.856667,66.373337,66.526665,66.526665,4073700
2019-06-27,66.926666,69.056664,66.779999,68.296669,68.296669,3884700
2019-06-28,68.533333,69.080002,67.730003,67.919998,67.919998,3150000
2019-07-01,69.449997,70.156670,67.776665,68.543335,68.543335,3497100
2019-07-02,68.666664,69.300003,68.139999,68.253334,68.253334,2130300
2019-07-03,69.029999,70.449997,68.783333,69.650002,69.650002,2881500
2019-07-05,69.753334,70.163330,68.993332,69.806664,69.806664,2096700
2019-07-08,69.526665,70.519997,69.419998,69.943336,69.943336,2800200
2019-07-09,69.833336,71.930000,69.833336,71.779999,71.779999,3624000
2019-07-10,72.400002,72.873337,71.026665,71.559998,71.559998,3462000
2019-07-11,72.316666,72.910004,71.856667,72.553329,72.553329,2408100
2019-07-12,72.676666,72.963333,71.639999,72.313332,72.313332,2397000
2019-07-15,72.589996,73.589996,72.176666,73.220001,73.220001,3424800
2019-07-16,73.333336,74.153336,72.806664,73.290001,73.290001,2883600
2019-07-17,73.480003,74.996666,73.480003,74.546669,74.546669,3062400
2019-07-18,74.146667,74.276665,73.173332,74.103333,74.103333,3201600
2019-07-19,74.500000,74.940002,74.086670,74.086670,74.086670,3782700
2019-07-22,74.333336,74.656670,72.623337,73.863335,73.863335,4056900
2019-07-23,74.236664,74.756668,73.830002,74.650002,74.650002,2013300
2019-07-24,74.666664,75.226669,74.443336,75.006668,75.006668,2685900
2019-07-25,75.036667,75.166664,73.919998,74.466667,74.466667,2004000
2019-07-26,75.000000,76.046669,74.566666,75.676666,75.676666,2603100
2019-07-29,75.676666,75.916664,73.236664,75.216667,75.216667,2364600
2019-07-30,74.866669,76.096664,74.676666,75.926666,75.926666,2120700
2019-07-31,75.926666,76.480003,74.589996,75.513336,75.513336,2999400
2019-08-01,75.550003,76.646667,74.533333,75.129997,75.129997,3054300
2019-08-02,75.000000,75.146667,73.620003,73.853333,73.853333,2715300
2019-08-05,71.666664,72.216667,70.366669,71.510002,71.510002,3022500
2019-08-06,72.226669,72.833336,70.703331,71.370003,71.370003,3089100
2019-08-07,70.976669,71.059998,69.436668,70.660004,70.660004,3461100
2019-08-08,71.393333,72.116669,70.883331,71.683334,71.683334,2736300
2019-08-09,71.666664,72.306664,71.093330,71.730003,71.730003,1912800
2019-08-12,71.580002,72.266670,70.856667,72.099998,72.099998,1678200
