"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCBUS","197609","9.669","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197610","12.467","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197611","14.601","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197612","21.829","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197613","144.168","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197701","20.297","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197702","13.63","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197703","11.997","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197704","12.393","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197705","9.653","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197706","10","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197707","7.525","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197708","9.34","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197709","8.812","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197710","11.32","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197711","15.132","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197712","17.657","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197713","147.756","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197801","17.714","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197802","18.181","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197803","14.15","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197804","11.971","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197805","10.794","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197806","10.448","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197807","9.462","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197808","9.653","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197809","11.037","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197810","15.932","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197811","16.936","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197812","18.25","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197813","164.529","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197901","22.972","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197902","13.915","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197903","10.961","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197904","9.84","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197905","8.897","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197906","9.128","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197907","7.918","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197908","7.491","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197909","9.947","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197910","13.879","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197911","16.601","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197912","17.705","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","197913","149.253","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198001","15.387","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198002","13.464","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","198003","9.599","1","Coal Consumed by the Commercial Sector","Trillion Btu"
